1.859999     0.2201703     0.6700954E-01
1.889999     0.2514645     0.7490473E-01
1.919999     0.3044227     0.7897761E-01
1.949999     0.3750437     0.8582541E-01
1.979999     0.4555026     0.9230639E-01
2.009999     0.5427595     0.9889745E-01
2.039999     0.6385142     0.1062619    
2.069999     0.7397020     0.1095430    
2.099998     0.8342065     0.1154734    
2.129998     0.9279909     0.1205108    
2.159998      1.015242     0.1240321    
2.189998      1.092877     0.1288406    
2.219998      1.161151     0.1288614    
2.249998      1.214594     0.1323661    
2.279998      1.247865     0.1314919    
2.309998      1.271351     0.1315236    
2.339998      1.283189     0.1307765    
2.369998      1.279696     0.1278299    
2.399998      1.267256     0.1264752    
2.429998      1.242645     0.1206746    
2.459998      1.207583     0.1167334    
2.489998      1.172200     0.1146370    
2.519998      1.129881     0.1114336    
2.549998      1.081853     0.1093483    
2.579998      1.036751     0.1078179    
2.609998     0.9939508     0.1018581    
2.639998     0.9514706     0.9878830E-01
2.669998     0.9136250     0.9507263E-01
2.699998     0.8771285     0.9184199E-01
2.729998     0.8495263     0.9219792E-01
2.759998     0.8246217     0.8936214E-01
2.789998     0.8019246     0.8707713E-01
2.819998     0.7851200     0.8507416E-01
2.849998     0.7737301     0.8333424E-01
2.879998     0.7656086     0.8190472E-01
2.909998     0.7633717     0.8215577E-01
2.939998     0.7620395     0.8090490E-01
2.969998     0.7648299     0.7924385E-01
2.999998     0.7699579     0.7820964E-01
3.029998     0.7789172     0.7828581E-01
3.059998     0.7873493     0.7756759E-01
3.089998     0.8033755     0.7952054E-01
3.119998     0.8161374     0.7582562E-01
3.149997     0.8310729     0.7788315E-01
3.179997     0.8454793     0.7630713E-01
3.209997     0.8616043     0.7715230E-01
3.239997     0.8788194     0.7672194E-01
3.269997     0.8944678     0.7833073E-01
3.299997     0.9138691     0.7683490E-01
3.329997     0.9331530     0.7651151E-01
3.359997     0.9525682     0.7743955E-01
3.389997     0.9720349     0.7632235E-01
3.419997     0.9914312     0.7781195E-01
3.449997      1.011106     0.7742146E-01
3.479997      1.033663     0.7589986E-01
3.509997      1.051862     0.7864891E-01
3.539997      1.068885     0.7919569E-01
3.569997      1.087276     0.7816314E-01
3.599997      1.099531     0.7736600E-01
3.629997      1.114141     0.7822564E-01
